hERG_IC50,hERG_h,hERG_Bmax
10100,0.9013,99.2
10100,0.9015,99.21
10090,0.9014,99.2
10100,0.9014,99.2
10090,0.9015,99.2
10100,0.9014,99.21
10100,0.9014,99.21
10090,0.9012,99.19
10090,0.9014,99.2
10100,0.9014,99.2
10090,0.9013,99.2
10100,0.9014,99.21
10100,0.9014,99.21
10100,0.9017,99.22
10100,0.9014,99.21
10090,0.9013,99.2
10100,0.9016,99.21
10080,0.9014,99.19
10090,0.9018,99.21
10090,0.9013,99.2
10090,0.9015,99.2
10100,0.9018,99.22
10100,0.9017,99.21
10090,0.9014,99.2
10100,0.9015,99.21
10090,0.9014,99.2
10100,0.9013,99.2
10100,0.9017,99.21
10100,0.9016,99.21
10090,0.9014,99.2
10100,0.9013,99.2
10090,0.9012,99.19
10100,0.9015,99.21
10110,0.9012,99.2
10110,0.9015,99.22
10100,0.901,99.19
10100,0.9015,99.21
10110,0.9014,99.21
10100,0.9013,99.21
10110,0.9014,99.21
10100,0.9014,99.21
10100,0.9014,99.2
10100,0.9016,99.21
10110,0.9015,99.21
10100,0.9011,99.19
10090,0.9015,99.21
10090,0.9012,99.19
10110,0.902,99.23
10100,0.9013,99.2
10110,0.9014,99.21
10110,0.9014,99.21
10100,0.901,99.19
10090,0.9013,99.2
10100,0.9014,99.2
10100,0.9016,99.21
10090,0.9013,99.19
10100,0.9015,99.21
10100,0.9017,99.21
10090,0.9017,99.21
10100,0.9016,99.21
10090,0.9014,99.2
10090,0.9015,99.2
10090,0.9016,99.2
10090,0.9015,99.21
10100,0.9016,99.21
10090,0.9013,99.2
10100,0.9018,99.21
10090,0.9014,99.2
10100,0.9014,99.2
10100,0.9014,99.2
10100,0.9019,99.22
10100,0.9016,99.21
10100,0.9015,99.21
10100,0.9017,99.21
10090,0.9016,99.2
10080,0.9013,99.19
10100,0.9016,99.21
10090,0.9013,99.2
10090,0.9012,99.19
10100,0.9013,99.2
10100,0.9012,99.2
10090,0.9014,99.19
10090,0.9014,99.19
10090,0.9016,99.21
10090,0.9015,99.2
10100,0.9015,99.2
10090,0.9016,99.21
10090,0.9017,99.21
10100,0.9016,99.21
10090,0.9016,99.2
10090,0.9016,99.2
10100,0.9014,99.21
10090,0.9014,99.2
10090,0.9013,99.2
10100,0.9015,99.21
10100,0.9012,99.19
10100,0.9014,99.2
10090,0.9014,99.2
10100,0.9017,99.21
10100,0.9016,99.21
10100,0.9014,99.21
10100,0.9012,99.2
10110,0.9016,99.22
10100,0.9014,99.21
10100,0.9016,99.21
10100,0.9014,99.21
10090,0.901,99.19
10110,0.9014,99.21
10100,0.9014,99.21
10100,0.9015,99.21
10100,0.9014,99.2
10110,0.9014,99.21
10100,0.9016,99.21
10100,0.9016,99.21
10100,0.9014,99.2
10100,0.9015,99.21
10100,0.9016,99.21
10110,0.9017,99.22
10090,0.9013,99.2
10090,0.9012,99.19
10100,0.9015,99.21
10100,0.9016,99.21
10090,0.9012,99.19
10100,0.9013,99.2
10100,0.9015,99.21
10090,0.9015,99.2
10090,0.9013,99.2
10090,0.9014,99.2
10100,0.9014,99.21
10100,0.9014,99.21
10100,0.9013,99.2
10090,0.9015,99.2
10090,0.9017,99.21
10100,0.9016,99.21
10090,0.9013,99.2
10100,0.9016,99.21
10100,0.9017,99.21
10090,0.9012,99.19
10100,0.9009,99.19
10110,0.9014,99.21
10100,0.9012,99.2
10110,0.9013,99.21
10100,0.9015,99.21
10100,0.9012,99.2
10100,0.9018,99.22
10100,0.9017,99.21
10100,0.9016,99.21
10090,0.9014,99.2
10100,0.9013,99.2
10090,0.9015,99.2
10090,0.9013,99.19
10090,0.9014,99.2
10090,0.9015,99.2
10100,0.9015,99.21
10100,0.9015,99.21
10090,0.9014,99.2
10100,0.9015,99.2
10110,0.9016,99.22
10090,0.9011,99.19
10100,0.9016,99.21
10090,0.9011,99.19
10100,0.9016,99.21
10100,0.9016,99.21
10100,0.9014,99.21
10090,0.9013,99.19
10100,0.9016,99.21
10100,0.9016,99.21
10090,0.9015,99.2
10090,0.9013,99.19
10090,0.9015,99.2
10090,0.9015,99.2
10110,0.9017,99.22
10110,0.9015,99.21
10100,0.9012,99.2
10100,0.9013,99.2
10100,0.9014,99.21
10090,0.9013,99.2
10100,0.9015,99.21
10100,0.9017,99.21
10090,0.9016,99.21
10110,0.9016,99.22
10090,0.9011,99.19
10100,0.9013,99.2
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9015,99.21
10090,0.9014,99.2
10090,0.9014,99.2
10100,0.9016,99.21
10100,0.9016,99.21
10100,0.9018,99.22
10110,0.9016,99.22
10090,0.9011,99.19
10100,0.9016,99.21
10100,0.9016,99.21
10090,0.9017,99.21
10090,0.9017,99.21
10090,0.9013,99.2
10090,0.9012,99.19
10100,0.9015,99.21
10110,0.9017,99.22
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9014,99.21
10090,0.9013,99.2
10100,0.9018,99.21
10090,0.9018,99.21
10080,0.9014,99.19
10100,0.9017,99.21
10100,0.9015,99.2
10100,0.9014,99.2
10100,0.9014,99.21
10100,0.9017,99.22
10110,0.9016,99.22
10100,0.9013,99.2
10100,0.9017,99.22
10090,0.9014,99.2
10110,0.9013,99.21
10090,0.9013,99.2
10100,0.9016,99.21
10100,0.9016,99.21
10100,0.9013,99.2
10100,0.9013,99.2
10090,0.9017,99.21
10100,0.9014,99.2
10100,0.9015,99.21
10100,0.9012,99.2
10090,0.9012,99.19
10090,0.9012,99.19
10100,0.9015,99.21
10090,0.9014,99.2
10100,0.9018,99.22
10090,0.9012,99.2
10100,0.9013,99.2
10100,0.9013,99.2
10090,0.9014,99.2
10100,0.9015,99.2
10100,0.9017,99.21
10090,0.9013,99.19
10100,0.9016,99.21
10100,0.9016,99.21
10100,0.9014,99.2
10100,0.9015,99.21
10090,0.9012,99.19
10090,0.9016,99.21
10100,0.9016,99.21
10100,0.9017,99.21
10090,0.9013,99.19
10090,0.9014,99.2
10100,0.9013,99.2
10100,0.9012,99.2
10100,0.9009,99.19
10110,0.9012,99.21
10110,0.9013,99.21
10100,0.9014,99.21
10110,0.9016,99.22
10100,0.9016,99.21
10090,0.9014,99.2
10090,0.9018,99.21
10090,0.9014,99.2
10100,0.9012,99.2
10100,0.9014,99.2
10100,0.9016,99.22
10100,0.9017,99.21
10090,0.9017,99.21
10100,0.9019,99.22
10090,0.9018,99.21
10100,0.9015,99.2
10090,0.9016,99.2
10100,0.9014,99.2
10100,0.9015,99.21
10110,0.9015,99.21
10100,0.901,99.19
10100,0.9016,99.21
10100,0.9015,99.21
10090,0.9015,99.2
10090,0.9015,99.2
10090,0.9013,99.19
10090,0.9016,99.21
10100,0.9016,99.21
10100,0.9018,99.21
10100,0.9016,99.21
10090,0.9015,99.2
10100,0.9014,99.2
10110,0.9015,99.21
10110,0.9009,99.19
10100,0.9011,99.2
10100,0.9018,99.22
10090,0.9017,99.21
10090,0.9018,99.21
10090,0.9016,99.21
10090,0.9016,99.2
10090,0.9016,99.21
10090,0.9018,99.21
10090,0.9016,99.2
10090,0.9015,99.2
10090,0.9013,99.19
10100,0.9015,99.2
10090,0.902,99.22
10090,0.9016,99.21
10100,0.9017,99.22
10100,0.9013,99.2
10100,0.9015,99.21
10090,0.9015,99.2
10090,0.9015,99.2
10090,0.9011,99.19
10100,0.9016,99.21
10100,0.9014,99.2
10100,0.9015,99.21
10100,0.9016,99.21
10080,0.9011,99.18
10090,0.9015,99.2
10090,0.9013,99.2
10090,0.9015,99.2
10100,0.9018,99.22
10100,0.9015,99.21
10100,0.9017,99.22
10100,0.9014,99.2
10100,0.9015,99.21
10100,0.9015,99.2
10100,0.9017,99.21
10090,0.9013,99.19
10090,0.9014,99.2
10100,0.9016,99.21
10090,0.9014,99.2
10100,0.9016,99.21
10090,0.9015,99.2
10090,0.9013,99.19
10100,0.9015,99.21
10100,0.9011,99.19
10100,0.9015,99.21
10090,0.9011,99.19
10090,0.9013,99.2
10100,0.9014,99.21
10100,0.9012,99.2
10100,0.9011,99.19
10100,0.9012,99.2
10110,0.9012,99.2
10100,0.9013,99.2
10100,0.9016,99.21
10100,0.9015,99.21
10090,0.9016,99.21
10100,0.9015,99.21
10100,0.9017,99.21
10090,0.9016,99.2
10090,0.9016,99.2
10090,0.9013,99.19
10100,0.9015,99.21
10090,0.9015,99.2
10100,0.9014,99.21
10100,0.9014,99.21
10090,0.9014,99.2
10110,0.9015,99.21
10100,0.901,99.19
10090,0.9015,99.2
10100,0.9018,99.22
10090,0.9013,99.19
10110,0.9015,99.21
10100,0.9017,99.22
10090,0.9015,99.2
10090,0.9014,99.2
10100,0.9016,99.21
10100,0.9015,99.21
10100,0.901,99.19
10100,0.9015,99.21
10100,0.9013,99.21
10100,0.9014,99.21
10090,0.9013,99.19
10100,0.9016,99.21
10080,0.9014,99.19
10090,0.9017,99.21
10100,0.9017,99.21
10090,0.9014,99.2
10090,0.9015,99.2
10100,0.9015,99.2
10100,0.9017,99.21
10100,0.9012,99.2
10100,0.9012,99.2
10110,0.9013,99.21
10090,0.9014,99.2
10100,0.9017,99.22
10100,0.9014,99.21
10090,0.9013,99.2
10100,0.9016,99.21
10100,0.9013,99.2
10100,0.9013,99.2
10100,0.9014,99.21
10090,0.9012,99.19
10100,0.9019,99.22
10090,0.9015,99.2
10090,0.9014,99.2
10100,0.9018,99.22
10100,0.9014,99.21
10100,0.9014,99.21
10100,0.9012,99.2
10090,0.9014,99.2
10100,0.9012,99.2
10090,0.9015,99.2
10090,0.9015,99.21
10090,0.9015,99.2
10100,0.9015,99.21
10090,0.9013,99.2
10090,0.9015,99.2
10100,0.9016,99.21
10100,0.9014,99.2
10090,0.9016,99.21
10080,0.9013,99.19
10090,0.9013,99.2
10090,0.9013,99.19
10090,0.9015,99.2
10090,0.9014,99.2
10100,0.9015,99.21
10100,0.9015,99.21
10110,0.9015,99.21
10110,0.9016,99.22
10100,0.9015,99.21
10100,0.9016,99.21
10090,0.9017,99.21
10090,0.9016,99.2
10090,0.9016,99.21
10090,0.9017,99.21
10110,0.9018,99.22
10110,0.9013,99.21
10110,0.9014,99.21
10100,0.9013,99.2
10110,0.9014,99.21
10100,0.9016,99.21
10100,0.9013,99.2
10090,0.9013,99.2
10100,0.9016,99.21
10100,0.9013,99.2
10100,0.9014,99.21
10100,0.9015,99.21
10090,0.9017,99.21
10100,0.9014,99.2
10100,0.9013,99.2
10110,0.9015,99.21
10090,0.9016,99.2
10090,0.9016,99.21
10100,0.9019,99.22
10090,0.9016,99.21
10090,0.9016,99.21
10090,0.9012,99.19
10090,0.9016,99.21
10100,0.9016,99.21
10100,0.9014,99.2
10100,0.9014,99.21
10090,0.9015,99.2
10100,0.9021,99.23
10100,0.9016,99.21
10090,0.9017,99.21
10090,0.9014,99.2
10100,0.9017,99.21
10090,0.9014,99.2
10100,0.9018,99.22
10090,0.9014,99.2
10100,0.9014,99.2
10100,0.902,99.23
10100,0.9014,99.2
10110,0.9015,99.21
10110,0.9016,99.22
10100,0.9013,99.2
10110,0.9014,99.21
10100,0.9013,99.2
10100,0.9013,99.2
10100,0.9015,99.21
10090,0.9015,99.2
10090,0.9013,99.19
10100,0.9014,99.2
10090,0.9014,99.2
10090,0.9016,99.2
10090,0.9013,99.2
10100,0.9011,99.2
10100,0.901,99.19
10100,0.9012,99.2
10100,0.9016,99.21
10090,0.9016,99.21
10100,0.9018,99.22
10090,0.9017,99.21
10090,0.9012,99.19
10100,0.9015,99.21
10090,0.9014,99.2
10100,0.9014,99.2
10100,0.9017,99.21
10100,0.9016,99.21
10090,0.9014,99.2
10090,0.9015,99.2
10100,0.9015,99.21
10100,0.9015,99.21
10110,0.9016,99.22
10090,0.9015,99.21
10090,0.9016,99.2
10100,0.9017,99.21
10090,0.9016,99.21
10100,0.9016,99.21
10110,0.9018,99.23
10090,0.9012,99.19
10100,0.9015,99.2
10100,0.9015,99.21
10090,0.9012,99.19
10090,0.9014,99.2
10090,0.9013,99.19
10090,0.9015,99.2
10100,0.9016,99.21
10100,0.9012,99.2
10100,0.9014,99.2
10100,0.9014,99.21
10110,0.9013,99.21
10110,0.9013,99.21
10090,0.9012,99.19
10100,0.9015,99.2
10090,0.9016,99.2
10090,0.9015,99.2
10090,0.9012,99.19
10090,0.9013,99.2
10100,0.9015,99.21
10100,0.9014,99.21
10100,0.9014,99.21
10110,0.9016,99.22
10090,0.9013,99.19
10090,0.9014,99.2
10100,0.9014,99.21
10100,0.9015,99.21
10100,0.9014,99.2
10090,0.9014,99.2
10100,0.9015,99.21
10100,0.9016,99.21
10100,0.9016,99.21
10090,0.9013,99.2
10100,0.9018,99.22
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9013,99.2
10110,0.9014,99.21
10100,0.9012,99.2
10110,0.9014,99.21
10100,0.901,99.19
10100,0.9014,99.21
10100,0.9017,99.21
10090,0.9013,99.2
10100,0.9017,99.22
10110,0.9013,99.21
10100,0.9013,99.21
10100,0.9013,99.2
10090,0.9017,99.21
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9012,99.2
10110,0.9014,99.21
10100,0.9013,99.2
10090,0.9014,99.2
10090,0.9014,99.2
10090,0.9011,99.19
10090,0.9009,99.18
10090,0.9014,99.2
10090,0.9016,99.2
10090,0.9014,99.2
10090,0.9017,99.21
10100,0.9016,99.21
10100,0.9015,99.21
10090,0.9013,99.2
10100,0.9016,99.21
10090,0.9014,99.2
10100,0.9019,99.22
10090,0.9016,99.2
10090,0.9015,99.2
10100,0.9016,99.21
10100,0.9014,99.21
10100,0.9015,99.21
10100,0.9017,99.21
10100,0.9015,99.2
10090,0.9013,99.19
10090,0.9015,99.2
10090,0.9012,99.19
10100,0.9016,99.21
10100,0.9018,99.22
10100,0.9017,99.21
10100,0.9014,99.2
10100,0.9014,99.21
10100,0.9017,99.22
10100,0.9013,99.2
10100,0.9014,99.2
10110,0.9014,99.21
10100,0.9014,99.21
10100,0.9018,99.21
10090,0.9013,99.19
10100,0.9012,99.2
10090,0.9012,99.19
10090,0.9014,99.2
10100,0.9013,99.2
10090,0.9015,99.2
10090,0.9017,99.21
10090,0.9016,99.2
10090,0.9017,99.21
10100,0.9016,99.21
10100,0.9016,99.21
10100,0.9015,99.21
10100,0.9012,99.2
10100,0.9012,99.2
10090,0.9016,99.21
10090,0.9014,99.2
10100,0.9016,99.21
10090,0.9016,99.21
10090,0.9014,99.2
10100,0.9015,99.21
10090,0.9015,99.2
10090,0.9015,99.2
10100,0.9013,99.2
10100,0.9015,99.21
10090,0.9014,99.2
10100,0.9016,99.21
10100,0.9015,99.21
10090,0.9013,99.2
10090,0.9015,99.2
10100,0.9019,99.22
10100,0.9011,99.2
10110,0.9015,99.22
10100,0.9012,99.2
10100,0.9014,99.2
10090,0.9012,99.19
10100,0.9017,99.21
10100,0.9011,99.19
10100,0.9013,99.2
10100,0.9012,99.2
10100,0.9014,99.21
10100,0.9013,99.2
10100,0.9013,99.2
10100,0.9015,99.21
10090,0.9014,99.2
10100,0.9012,99.2
10100,0.9017,99.21
10100,0.9013,99.2
10110,0.9016,99.22
10110,0.9017,99.22
10100,0.9011,99.2
10110,0.9015,99.22
10110,0.9014,99.21
10100,0.9013,99.2
10110,0.9016,99.22
10110,0.9014,99.21
10110,0.9013,99.21
10110,0.9013,99.21
10100,0.9014,99.2
10100,0.9015,99.21
10100,0.9014,99.21
10100,0.9012,99.2
10100,0.9015,99.21
10090,0.9016,99.2
10090,0.9015,99.2
10090,0.9014,99.2
10100,0.9013,99.2
10100,0.9013,99.2
10100,0.9012,99.2
10100,0.9014,99.2
10110,0.9015,99.21
10090,0.9013,99.2
10090,0.9014,99.2
10100,0.9014,99.2
10100,0.9014,99.21
10100,0.9018,99.22
10100,0.9017,99.21
10090,0.9019,99.21
10100,0.9018,99.22
10090,0.9015,99.2
10090,0.9017,99.21
10090,0.9017,99.21
10100,0.9015,99.21
10090,0.9015,99.2
10110,0.9016,99.22
10100,0.9014,99.2
10100,0.9013,99.2
10110,0.9015,99.21
10100,0.9013,99.2
10100,0.9013,99.2
10110,0.9018,99.22
10080,0.9014,99.19
10090,0.9017,99.2
10100,0.9015,99.21
10100,0.9016,99.21
10090,0.9015,99.2
10100,0.9015,99.21
10100,0.9015,99.21
10110,0.9012,99.2
10100,0.9015,99.21
10100,0.9016,99.21
10100,0.9014,99.2
10100,0.9016,99.21
10100,0.9014,99.21
10090,0.9009,99.18
10100,0.9016,99.21
10100,0.9016,99.21
10100,0.9014,99.2
10100,0.9015,99.21
10090,0.9015,99.2
10100,0.9013,99.2
10100,0.9009,99.19
10100,0.9015,99.21
10090,0.9016,99.21
10100,0.9019,99.22
10090,0.9017,99.2
10080,0.9014,99.19
10100,0.9012,99.2
10100,0.9013,99.2
10080,0.9014,99.19
10100,0.9017,99.21
10100,0.9018,99.22
10100,0.9012,99.2
10100,0.9015,99.21
10090,0.9015,99.2
10090,0.9017,99.21
10090,0.9014,99.2
10090,0.9015,99.2
10090,0.9015,99.2
10100,0.9017,99.21
10110,0.9018,99.22
10100,0.9014,99.2
10100,0.9015,99.21
10100,0.9014,99.21
10110,0.9013,99.21
10100,0.901,99.19
10100,0.9012,99.2
10110,0.9012,99.2
10100,0.9014,99.2
10100,0.9015,99.2
10090,0.9015,99.2
10090,0.9012,99.19
10090,0.9015,99.2
10090,0.9013,99.2
10090,0.9014,99.2
10100,0.9015,99.21
10100,0.9015,99.21
10090,0.9016,99.2
10110,0.9015,99.21
10100,0.9013,99.2
10090,0.9014,99.2
10100,0.9012,99.2
10110,0.9015,99.21
10100,0.9012,99.2
10100,0.9014,99.2
10090,0.9016,99.21
10090,0.9013,99.19
10100,0.9015,99.2
10100,0.9014,99.21
10100,0.9015,99.21
10090,0.9015,99.2
10090,0.9015,99.2
10100,0.9013,99.2
10100,0.9014,99.2
10100,0.9017,99.21
10090,0.9015,99.2
10100,0.9015,99.2
10100,0.9015,99.21
10100,0.9013,99.2
10100,0.9012,99.2
10100,0.9011,99.19
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9015,99.21
10100,0.9012,99.2
10100,0.9013,99.2
10110,0.9016,99.22
10100,0.9014,99.2
10090,0.9013,99.19
10110,0.9014,99.21
10090,0.9017,99.21
10090,0.9015,99.2
10090,0.9016,99.2
10100,0.9014,99.2
10080,0.9015,99.19
10090,0.9016,99.21
10090,0.9016,99.2
10090,0.9016,99.21
10090,0.9015,99.2
10080,0.9018,99.21
10090,0.902,99.22
10100,0.9019,99.22
10100,0.9016,99.21
10090,0.9013,99.2
10100,0.9011,99.2
10100,0.9013,99.2
10100,0.9014,99.2
10110,0.9016,99.22
10110,0.9016,99.22
10090,0.9013,99.2
10090,0.9012,99.19
10100,0.9014,99.21
10100,0.9019,99.22
10100,0.9015,99.21
10090,0.9014,99.2
10090,0.9014,99.2
10100,0.9015,99.21
10090,0.9014,99.19
10090,0.9018,99.21
10090,0.9016,99.2
10100,0.9014,99.2
10100,0.9012,99.2
10090,0.9014,99.2
10090,0.9015,99.2
10090,0.9017,99.21
10090,0.9015,99.2
10090,0.9014,99.2
10100,0.9018,99.22
10090,0.9017,99.2
10090,0.9016,99.2
10090,0.9014,99.2
10100,0.9017,99.21
10100,0.9014,99.2
10090,0.9013,99.2
10100,0.9014,99.2
10090,0.9012,99.19
10100,0.9016,99.21
10100,0.9013,99.21
10100,0.9016,99.21
10100,0.9019,99.22
10090,0.9016,99.2
10090,0.9013,99.19
10100,0.9013,99.2
10100,0.9014,99.21
10100,0.9015,99.21
10110,0.9016,99.22
10100,0.9011,99.2
10110,0.9012,99.2
10110,0.9014,99.21
10100,0.9017,99.21
10100,0.9013,99.2
10100,0.9015,99.21
10100,0.9013,99.2
10100,0.9013,99.21
10110,0.9017,99.22
10090,0.9011,99.19
10100,0.9014,99.2
10090,0.9014,99.2
10090,0.9017,99.21
