hERG_IC50,hERG_h,hERG_Bmax
23.57,0.8742,70
23.58,0.8734,70
23.63,0.8742,70
23.62,0.8744,70
23.65,0.87,70
23.52,0.8715,70
23.54,0.8721,70
23.53,0.8725,70
23.59,0.8717,70
23.62,0.8736,70
23.57,0.8721,70
23.62,0.8727,70
23.61,0.874,70
23.53,0.875,70
23.53,0.874,70
23.6,0.8759,70
23.58,0.8738,70
23.55,0.874,70
23.48,0.8746,70
23.55,0.8726,70
23.49,0.8743,70
23.5,0.8741,70
23.55,0.8724,70
23.55,0.8735,70
23.54,0.8748,70
23.56,0.8721,70
23.53,0.8731,70
23.64,0.874,70
23.64,0.8698,70
23.55,0.8738,70
23.65,0.8715,70
23.63,0.8736,70
23.58,0.8756,70
23.71,0.8716,70
23.44,0.8734,70
23.58,0.8711,70
23.6,0.87,70
23.52,0.87,70
23.55,0.8735,70
23.51,0.8728,70
23.53,0.872,70
23.52,0.8716,70
23.51,0.8754,70
23.57,0.8702,70
23.57,0.8731,70
23.69,0.8734,70
23.6,0.8703,70
23.52,0.8769,70
23.54,0.8748,70
23.54,0.8712,70
23.56,0.8734,70
23.54,0.8725,70
23.54,0.8747,70
23.57,0.8731,70
23.52,0.8746,70
23.55,0.874,70
23.57,0.8716,70
23.66,0.8718,70
23.63,0.8749,70
23.53,0.873,70
23.65,0.8739,70
23.62,0.8741,70
23.53,0.87,70
23.56,0.8738,70
23.62,0.8736,70
23.59,0.8743,70
23.57,0.8729,70
23.62,0.8743,70
23.56,0.8732,70
23.56,0.8749,70
23.54,0.8719,70
23.61,0.8725,70
23.58,0.8754,70
23.64,0.872,70
23.52,0.8757,70
23.68,0.8737,70
23.65,0.8707,70
23.57,0.8731,70
23.52,0.8721,70
23.57,0.8726,70
23.56,0.8725,70
23.62,0.8737,70
23.64,0.8729,70
23.66,0.8751,70
23.69,0.8715,70
23.53,0.8751,70
23.54,0.8744,70
23.67,0.8732,70
23.72,0.8741,70
23.65,0.8729,70
23.65,0.8734,70
23.71,0.8705,70
23.67,0.8698,70
23.64,0.8746,70
23.57,0.8739,70
23.57,0.8733,70
23.57,0.8727,70
23.56,0.8734,70
23.52,0.8755,70
23.5,0.8745,70
23.55,0.8747,70
23.52,0.8732,70
23.59,0.8743,70
23.59,0.8738,70
23.34,0.8749,70
23.54,0.874,70
23.61,0.8753,70
23.5,0.8739,70
23.54,0.873,70
23.55,0.873,70
23.56,0.8724,70
23.61,0.8729,70
23.53,0.8735,70
23.53,0.8744,70
23.57,0.872,70
23.56,0.8705,70
23.69,0.872,70
23.61,0.8733,70
23.56,0.8732,70
23.59,0.8719,70.01
23.58,0.8757,70
23.63,0.8741,70
23.62,0.8739,70
23.53,0.8735,70
23.5,0.8724,70
23.51,0.8745,70
23.57,0.8761,70
23.61,0.8751,70
23.62,0.8748,70
23.58,0.8737,70
23.55,0.8732,70
23.59,0.8742,70
23.56,0.875,70
23.49,0.8751,70
23.67,0.8729,70
23.57,0.8745,70
23.58,0.8735,70
23.53,0.8759,70
23.52,0.8721,70
23.52,0.8766,70
23.57,0.8728,70
23.49,0.8728,70
23.53,0.8721,70
23.62,0.8714,70
23.55,0.8716,70
23.57,0.8706,70
23.73,0.8724,70
23.75,0.8724,70
23.64,0.872,70
23.62,0.8724,70
23.61,0.8717,70
23.59,0.8713,70
23.58,0.8724,70
23.53,0.8739,70
23.47,0.8741,70
23.49,0.8728,70
23.72,0.8723,70
23.57,0.8763,70
23.55,0.8723,70
23.48,0.872,70
23.58,0.8765,70
23.54,0.874,70
23.54,0.8746,70
23.56,0.8734,70
23.54,0.8732,70
23.63,0.8736,70
23.6,0.8717,70
23.59,0.8759,70
23.57,0.8718,70
23.57,0.8731,70
23.51,0.8715,70
23.55,0.8711,70
23.55,0.873,70
23.54,0.8731,70
23.56,0.8733,70
23.58,0.8722,70
23.58,0.87,70
23.63,0.8713,70
23.63,0.8719,70
23.51,0.8736,70
23.53,0.8742,70
23.46,0.8718,70
23.4,0.8713,70
23.47,0.8749,70
23.52,0.8737,70
23.53,0.8728,70
23.57,0.8727,70
23.51,0.8719,70
23.52,0.8724,70
23.55,0.8714,70
23.62,0.8731,70
23.56,0.875,70
23.48,0.8745,70
23.5,0.8721,70
23.49,0.8702,70
23.53,0.8744,70
23.53,0.8747,70
23.52,0.8763,70
23.54,0.8738,70
23.54,0.875,70
23.6,0.8742,70
23.61,0.8737,70
23.52,0.872,70
23.5,0.8725,70
23.54,0.8748,70
23.55,0.8742,70
23.61,0.8733,70
23.63,0.8727,70
23.61,0.873,70
23.67,0.8725,70
23.68,0.8717,70
23.56,0.8743,70
23.56,0.8727,70
23.52,0.8725,70
23.65,0.8695,70
23.58,0.8719,70
23.61,0.8759,70
23.55,0.8729,70
23.47,0.8701,70
23.5,0.8707,70
23.57,0.8718,70
23.62,0.8716,70
23.61,0.8753,70
23.59,0.8712,70
23.62,0.8713,70
23.57,0.8731,70
23.61,0.8713,70
23.58,0.8752,70
23.52,0.8725,70
23.51,0.8744,70
23.45,0.8726,70
23.53,0.8756,70
23.6,0.873,70
23.62,0.874,70
23.5,0.8737,70
23.49,0.8713,70
23.51,0.8725,70
23.55,0.8724,70
23.54,0.8724,70
23.56,0.8715,70
23.57,0.874,70
23.55,0.8717,70
23.65,0.8735,70
23.62,0.8737,70
23.64,0.8755,70
23.62,0.8726,70
23.63,0.8739,70
23.61,0.8755,70
23.68,0.8741,70
23.66,0.8729,70
23.64,0.8735,70
23.54,0.8729,70
23.52,0.8739,70
23.68,0.8728,70
23.65,0.8703,70
23.65,0.87,70
23.52,0.8743,70
23.54,0.8751,70
23.49,0.8708,70
23.55,0.8707,70
23.52,0.8744,70
23.5,0.8722,70
23.54,0.8737,70
23.59,0.8716,70
23.47,0.8707,70
23.48,0.8712,70
23.53,0.875,70
23.57,0.8724,70
23.5,0.8736,70
23.6,0.8718,70
23.68,0.8723,70
23.51,0.8733,70
23.53,0.8746,70
23.55,0.8743,70
23.56,0.8725,70
23.57,0.8741,70
23.57,0.8724,70
23.53,0.8725,70
23.63,0.8734,70
23.64,0.8731,70
23.6,0.8733,70.01
23.52,0.8742,70.01
23.59,0.8726,70
23.67,0.8743,70
23.71,0.8752,70
23.7,0.8738,70
23.57,0.8749,70
23.62,0.8724,70
23.59,0.8736,70
23.47,0.8751,70
23.55,0.8749,70
23.6,0.8739,70
23.61,0.8737,70
23.54,0.876,70
23.53,0.8771,70
23.58,0.8747,70
23.62,0.8702,70
23.64,0.8726,70
23.54,0.8723,70
23.53,0.8735,70
23.57,0.8727,70
23.66,0.8738,70
23.64,0.873,70
23.65,0.8696,70
23.61,0.8727,70
23.68,0.8712,70
23.56,0.8739,70
23.57,0.8736,70
23.58,0.8735,70
23.58,0.8752,70
23.59,0.8731,70
23.52,0.875,70
23.54,0.8742,70
23.66,0.8687,70
23.69,0.873,70
23.67,0.8729,70
23.6,0.8758,70
23.58,0.8746,70
23.5,0.8708,70
23.54,0.8728,70
23.62,0.8708,70
23.61,0.8729,70
23.56,0.8722,70
23.56,0.8731,70
23.56,0.87,70
23.51,0.8759,70
23.55,0.8717,70
23.59,0.8723,70
23.54,0.8762,70
23.59,0.8725,70
23.57,0.8734,70
23.57,0.8727,70
23.57,0.8725,70
23.58,0.8726,70
23.64,0.8747,70
23.63,0.8716,70
23.68,0.8734,70
23.54,0.8701,70
23.53,0.8741,70
23.59,0.8717,70
23.63,0.874,70
23.64,0.8746,70
23.64,0.8741,70
23.59,0.8722,70
23.55,0.8721,70
23.6,0.8708,70
23.58,0.8735,70
23.64,0.8727,70
23.61,0.8727,70
23.63,0.8747,70
23.59,0.8728,70
23.63,0.8726,70
23.62,0.873,70
23.61,0.8728,70
23.64,0.8754,70
23.7,0.8737,70
23.6,0.8741,70
23.57,0.8737,70
23.56,0.8736,70
23.51,0.872,70
23.53,0.8758,70
23.48,0.8735,70
23.51,0.8741,70
23.55,0.8745,70
23.62,0.8728,70
23.61,0.8698,70
23.59,0.8718,70
23.6,0.872,70
23.54,0.8722,70
23.57,0.8715,70
23.47,0.8727,70
23.54,0.8741,70
23.53,0.8751,70
23.6,0.8733,70
23.64,0.8713,70
23.66,0.8732,70
23.62,0.8705,70
23.55,0.8678,70
23.68,0.8726,70
23.54,0.8716,70
23.59,0.87,70
23.63,0.8728,70
23.6,0.8748,70
23.59,0.8751,70
23.54,0.8741,70
23.57,0.8738,70
23.52,0.8749,70
23.47,0.8706,70
23.58,0.8739,70
23.61,0.8738,70
23.68,0.8722,70
23.49,0.8707,70
23.61,0.8731,70
23.6,0.873,70
23.63,0.8734,70
23.63,0.8749,70
23.62,0.8745,70
23.57,0.8746,70
23.62,0.8745,70.01
23.51,0.8728,70
23.55,0.8784,70
23.58,0.8736,70
23.45,0.8731,70
23.47,0.8738,70
23.45,0.8734,70
23.49,0.8704,70
23.57,0.8736,70
23.57,0.8718,70
23.58,0.8734,70
23.65,0.8738,70
23.62,0.8757,70
23.61,0.8753,70
23.61,0.8732,70
23.53,0.8714,70
23.54,0.8721,70
23.54,0.871,70
23.51,0.873,70
23.58,0.8723,70
23.51,0.8717,70
23.54,0.8723,70
23.54,0.873,70
23.6,0.8719,70
23.54,0.8767,70
23.67,0.8706,70
23.64,0.8759,70
23.64,0.8744,70
23.55,0.8756,70
23.55,0.8764,70
23.53,0.8734,70
23.52,0.8718,70
23.48,0.8727,70
23.58,0.8734,70
23.59,0.8734,70
23.6,0.8716,70
23.64,0.8758,70
23.66,0.8757,70
23.64,0.8737,70
23.6,0.8749,70
23.58,0.8731,70
23.53,0.8736,70
23.54,0.8766,70
23.52,0.873,70
23.61,0.8716,70
23.59,0.8746,70
23.59,0.8733,70
23.57,0.874,70
23.58,0.8725,70
23.69,0.8728,70
23.63,0.8744,70
23.63,0.8769,70
23.59,0.8749,70
23.58,0.8734,70
23.55,0.874,70
23.47,0.8718,70
23.58,0.8728,70
23.57,0.8724,70
23.57,0.8738,70
23.65,0.8733,70
23.54,0.8715,70
23.53,0.8734,70
23.53,0.8738,70
23.59,0.8761,70
23.57,0.8694,70
23.59,0.8731,70
23.64,0.8749,70
23.64,0.8738,70
23.64,0.8735,70
23.66,0.8715,70
23.59,0.8698,70
23.59,0.8715,70
23.62,0.8715,70
23.65,0.8716,70
23.61,0.8726,70
23.59,0.8722,70
23.62,0.873,70
23.62,0.8727,70
23.63,0.8733,70
23.68,0.8731,70
23.7,0.8744,70
23.64,0.874,70
23.57,0.8713,70
23.65,0.8721,70
23.66,0.8739,70
23.69,0.8697,70
23.61,0.8728,70
23.64,0.8742,70
23.61,0.8756,70
23.51,0.8738,70
23.53,0.8727,70
23.59,0.8718,70
23.67,0.8719,70
23.6,0.8731,70
23.51,0.8736,70
23.59,0.8731,70
23.61,0.8733,70
23.54,0.8702,70
23.63,0.8747,70
23.56,0.872,70
23.57,0.872,70
23.53,0.8727,70
23.59,0.8729,70
23.61,0.8738,70
23.48,0.8762,70
23.53,0.8743,70
23.53,0.8721,70
23.58,0.875,70
23.58,0.8726,70
23.5,0.8731,70
23.56,0.8734,70
23.51,0.8716,70
23.54,0.8711,70
23.62,0.8704,70
23.63,0.8746,70
23.71,0.8715,70
23.65,0.8706,70
23.64,0.8716,70
23.54,0.8738,70
23.56,0.8731,70
23.61,0.8738,70
23.48,0.8717,70
23.47,0.8716,70
23.52,0.8722,70
23.52,0.8748,70
23.58,0.8727,70
23.58,0.8728,70
23.54,0.8731,70
23.51,0.8736,70
23.53,0.8719,70
23.57,0.8701,70
23.63,0.8732,70
23.59,0.8744,70
23.53,0.8756,70
23.57,0.875,70
23.55,0.8719,70
23.73,0.8727,70
23.74,0.8748,70
23.54,0.8782,70
23.49,0.8739,70
23.43,0.8781,70
23.5,0.8768,70
23.55,0.871,70
23.55,0.8728,70
23.56,0.8727,70
23.54,0.8737,70
23.53,0.8741,70
23.59,0.8779,70
23.6,0.872,70
23.6,0.8718,70
23.62,0.8725,70
23.64,0.8733,70
23.46,0.8686,70
23.53,0.8713,70
23.49,0.8729,70
23.48,0.8732,70
23.54,0.8742,70
23.51,0.872,70
23.56,0.8735,70
23.49,0.8722,70
23.57,0.8734,70
23.6,0.8734,70
23.59,0.871,70
23.58,0.8721,70
23.66,0.8728,70
23.7,0.8709,70
23.71,0.8716,70
23.63,0.8753,70
23.63,0.8732,70
23.59,0.8735,70
23.58,0.8745,70
23.65,0.8696,70
23.56,0.8684,70
23.63,0.8745,70
23.54,0.8742,70
23.56,0.8731,70
23.5,0.876,70
23.52,0.875,70
23.54,0.873,70
23.55,0.8746,70
23.55,0.8733,70
23.63,0.8749,70
23.7,0.874,70
23.52,0.875,70
23.56,0.8705,70
23.57,0.8739,70
23.53,0.8737,70
23.48,0.873,70
23.61,0.8757,70
23.57,0.8733,70
23.53,0.8723,70
23.62,0.8739,70
23.56,0.8728,70
23.65,0.8735,70
23.64,0.8714,70
23.56,0.8735,70
23.57,0.8729,70
23.51,0.8708,70
23.47,0.8714,70
23.58,0.8752,70.01
23.53,0.8773,70
23.5,0.8733,70
23.5,0.8735,70
23.45,0.876,70
23.5,0.8729,70
23.56,0.8735,70
23.57,0.8741,70
23.66,0.876,70
23.6,0.8758,70
23.67,0.8716,70
23.63,0.875,70
23.66,0.8731,70
23.61,0.8757,70
23.66,0.8739,70
23.63,0.8722,70
23.5,0.8749,70
23.48,0.8742,70
23.46,0.874,70
23.64,0.8752,70
23.75,0.8707,70
23.55,0.8782,70
23.64,0.871,70
23.49,0.8778,70
23.55,0.8764,70
23.6,0.8735,70
23.53,0.8719,70
23.44,0.873,70
23.58,0.8745,70
23.47,0.874,70
23.53,0.873,70
23.53,0.8719,70
23.58,0.8733,70
23.57,0.8726,70
23.55,0.8728,70
23.55,0.8717,70
23.43,0.8757,70
23.56,0.8729,70
23.56,0.8757,70
23.6,0.8727,70
23.61,0.8749,70
23.57,0.8735,70
23.55,0.8718,70
23.61,0.8717,70
23.55,0.8721,70
23.56,0.8741,70
23.49,0.8726,70
23.44,0.874,70
23.53,0.8726,70
23.53,0.8734,70
23.48,0.8748,70
23.54,0.8751,70.01
23.49,0.873,70
23.56,0.8707,70
23.66,0.8742,70
23.47,0.8714,70
23.48,0.8692,70
23.57,0.8728,70
23.73,0.8714,70
23.62,0.8761,70
23.55,0.8739,70
23.51,0.8744,70
23.54,0.8725,70
23.46,0.874,70
23.58,0.8739,70
23.56,0.873,70
23.61,0.8722,70
23.58,0.8733,70
23.57,0.8748,70
23.58,0.8739,70
23.64,0.8742,70
23.63,0.8739,70
23.53,0.875,70
23.54,0.8733,70
23.56,0.874,70
23.62,0.8741,70
23.54,0.872,70
23.52,0.8719,70
23.49,0.8737,70
23.55,0.8727,70
23.53,0.8726,70
23.49,0.8728,70
23.53,0.8728,70
23.62,0.8727,70
23.55,0.8747,70
23.46,0.8745,70
23.58,0.8738,70
23.56,0.8739,70
23.58,0.8738,70
23.59,0.8733,70
23.65,0.8736,70
23.5,0.8711,70
23.53,0.8717,70
23.59,0.8758,70
23.52,0.8726,70
23.52,0.8721,70
23.53,0.873,70
23.58,0.8716,70
23.63,0.8726,70
23.56,0.8723,70
23.53,0.875,70
23.6,0.8758,70
23.43,0.8734,70
23.49,0.8704,70
23.46,0.8738,70
23.6,0.8749,70
23.67,0.8725,70
23.54,0.8771,70
23.58,0.8751,70
23.54,0.8732,70
23.56,0.8737,70
23.58,0.8743,70
23.47,0.871,70
23.47,0.8736,70
23.61,0.8709,70
23.54,0.8728,70
23.64,0.8763,70
23.68,0.8756,70
23.52,0.8757,70
23.57,0.8776,70
23.54,0.8731,70
23.5,0.8739,70
23.48,0.875,70
23.51,0.8733,70
23.62,0.8723,70
