hERG_IC50,hERG_h,hERG_Bmax
7.471,1.336,94.58
7.469,1.338,94.58
7.46,1.337,94.54
7.479,1.335,94.62
7.469,1.339,94.54
7.465,1.335,94.56
7.464,1.34,94.55
7.461,1.34,94.52
7.474,1.337,94.6
7.465,1.337,94.58
7.458,1.34,94.54
7.467,1.338,94.56
7.463,1.338,94.57
7.468,1.337,94.58
7.48,1.339,94.56
7.488,1.336,94.59
7.48,1.335,94.6
7.469,1.339,94.56
7.476,1.338,94.59
7.47,1.337,94.58
7.462,1.338,94.57
7.463,1.339,94.55
7.459,1.338,94.6
7.455,1.339,94.55
7.458,1.339,94.54
7.468,1.339,94.57
7.468,1.339,94.54
7.481,1.339,94.59
7.468,1.338,94.58
7.458,1.338,94.55
7.48,1.337,94.61
7.47,1.336,94.59
7.472,1.339,94.59
7.469,1.339,94.55
7.461,1.335,94.58
7.475,1.339,94.55
7.466,1.338,94.56
7.462,1.339,94.54
7.453,1.339,94.52
7.458,1.34,94.52
7.463,1.339,94.55
7.476,1.336,94.62
7.483,1.336,94.61
7.469,1.337,94.54
7.455,1.34,94.5
7.457,1.339,94.55
7.464,1.337,94.57
7.465,1.335,94.59
7.48,1.338,94.57
7.48,1.337,94.63
7.462,1.338,94.58
7.459,1.338,94.55
7.471,1.339,94.57
7.463,1.34,94.54
7.476,1.338,94.59
7.473,1.337,94.6
7.466,1.338,94.57
7.483,1.338,94.64
7.482,1.34,94.58
7.472,1.338,94.55
7.466,1.337,94.54
7.468,1.339,94.56
7.486,1.337,94.57
7.482,1.337,94.6
7.458,1.339,94.53
7.466,1.338,94.57
7.465,1.34,94.52
7.455,1.34,94.49
7.459,1.336,94.57
7.453,1.338,94.51
7.476,1.34,94.59
7.468,1.337,94.59
7.46,1.337,94.53
7.479,1.338,94.6
7.482,1.339,94.59
7.475,1.337,94.59
7.471,1.339,94.57
7.451,1.339,94.51
7.476,1.339,94.59
7.48,1.338,94.62
7.469,1.34,94.52
7.468,1.339,94.54
7.462,1.337,94.56
7.466,1.338,94.56
7.466,1.338,94.58
7.466,1.339,94.57
7.455,1.338,94.52
7.454,1.34,94.5
7.467,1.336,94.55
7.473,1.338,94.6
7.482,1.336,94.62
7.462,1.339,94.55
7.459,1.337,94.54
7.471,1.338,94.62
7.453,1.337,94.55
7.466,1.34,94.58
7.475,1.339,94.56
7.464,1.339,94.57
7.474,1.338,94.55
7.478,1.337,94.58
7.481,1.337,94.58
7.474,1.336,94.59
7.473,1.338,94.6
7.464,1.338,94.56
7.481,1.336,94.61
7.48,1.338,94.57
7.463,1.338,94.55
7.47,1.339,94.56
7.48,1.334,94.61
7.495,1.333,94.67
7.489,1.337,94.61
7.471,1.336,94.6
7.466,1.339,94.57
7.473,1.338,94.58
7.465,1.338,94.56
7.463,1.337,94.56
7.463,1.339,94.55
7.472,1.34,94.56
7.467,1.339,94.52
7.46,1.339,94.51
7.455,1.339,94.54
7.462,1.335,94.6
7.469,1.336,94.56
7.459,1.34,94.51
7.452,1.338,94.51
7.462,1.337,94.58
7.465,1.337,94.59
7.481,1.334,94.65
7.467,1.337,94.61
7.452,1.338,94.55
7.465,1.337,94.57
7.473,1.338,94.56
7.47,1.339,94.56
7.46,1.337,94.55
7.47,1.338,94.58
7.468,1.336,94.56
7.477,1.335,94.63
7.474,1.337,94.6
7.477,1.335,94.61
7.447,1.34,94.55
7.477,1.339,94.62
7.466,1.337,94.58
7.466,1.336,94.58
7.478,1.337,94.63
7.467,1.34,94.57
7.469,1.338,94.61
7.468,1.34,94.55
7.466,1.338,94.53
7.489,1.336,94.63
7.481,1.338,94.61
7.474,1.337,94.55
7.449,1.34,94.51
7.459,1.337,94.55
7.487,1.337,94.62
7.476,1.336,94.59
7.459,1.338,94.52
7.473,1.337,94.6
7.47,1.341,94.58
7.461,1.338,94.6
7.48,1.337,94.6
7.461,1.341,94.52
7.461,1.34,94.57
7.461,1.339,94.56
7.47,1.339,94.52
7.486,1.338,94.61
7.469,1.338,94.6
7.478,1.337,94.59
7.478,1.338,94.59
7.475,1.337,94.57
7.474,1.338,94.58
7.479,1.336,94.61
7.477,1.335,94.65
7.462,1.337,94.56
7.48,1.336,94.62
7.475,1.34,94.56
7.486,1.335,94.67
7.475,1.336,94.63
7.487,1.336,94.57
7.476,1.338,94.61
7.467,1.337,94.59
7.463,1.338,94.57
7.469,1.339,94.54
7.476,1.339,94.56
7.477,1.337,94.61
7.48,1.338,94.58
7.479,1.339,94.56
7.473,1.339,94.57
7.462,1.336,94.57
7.452,1.34,94.56
7.465,1.339,94.51
7.468,1.337,94.56
7.463,1.337,94.55
7.457,1.339,94.52
7.467,1.338,94.56
7.46,1.336,94.52
7.464,1.342,94.48
7.465,1.338,94.58
7.48,1.34,94.61
7.472,1.339,94.54
7.465,1.337,94.55
7.458,1.339,94.53
7.478,1.336,94.57
7.462,1.337,94.55
7.463,1.339,94.59
7.467,1.337,94.54
7.468,1.337,94.56
7.465,1.337,94.57
7.463,1.34,94.57
7.458,1.341,94.53
7.463,1.337,94.6
7.466,1.336,94.61
7.466,1.339,94.55
7.479,1.338,94.59
7.474,1.336,94.63
7.464,1.341,94.52
7.484,1.338,94.62
7.468,1.338,94.57
7.468,1.341,94.58
7.465,1.337,94.57
7.46,1.338,94.58
7.453,1.338,94.56
7.451,1.341,94.53
7.481,1.338,94.61
7.46,1.34,94.53
7.469,1.34,94.55
7.467,1.338,94.59
7.478,1.337,94.59
7.458,1.339,94.54
7.464,1.339,94.58
7.475,1.337,94.61
7.468,1.338,94.57
7.471,1.337,94.59
7.463,1.339,94.56
7.469,1.339,94.55
7.457,1.337,94.58
7.454,1.341,94.52
7.44,1.344,94.46
7.472,1.34,94.54
7.454,1.34,94.52
7.463,1.338,94.57
7.468,1.337,94.63
7.483,1.336,94.65
7.475,1.337,94.6
7.473,1.34,94.6
7.483,1.334,94.65
7.468,1.338,94.54
7.477,1.339,94.6
7.478,1.336,94.6
7.47,1.337,94.58
7.461,1.338,94.54
7.476,1.336,94.62
7.476,1.337,94.62
7.466,1.338,94.6
7.46,1.337,94.56
7.467,1.338,94.57
7.476,1.336,94.6
7.464,1.338,94.54
7.457,1.339,94.52
7.456,1.338,94.49
7.459,1.337,94.54
7.457,1.339,94.56
7.466,1.337,94.6
7.463,1.339,94.59
7.468,1.337,94.59
7.473,1.338,94.56
7.471,1.339,94.55
7.47,1.339,94.54
7.479,1.339,94.59
7.47,1.337,94.6
7.47,1.34,94.57
7.467,1.339,94.57
7.478,1.336,94.62
7.466,1.339,94.58
7.47,1.338,94.57
7.463,1.34,94.52
7.473,1.338,94.58
7.46,1.341,94.53
7.471,1.339,94.54
7.474,1.339,94.57
7.475,1.338,94.56
7.48,1.336,94.57
7.485,1.336,94.62
7.48,1.339,94.58
7.476,1.338,94.58
7.474,1.338,94.59
7.471,1.338,94.6
7.457,1.339,94.51
7.458,1.341,94.52
7.472,1.338,94.55
7.47,1.335,94.58
7.464,1.338,94.6
7.468,1.339,94.57
7.475,1.336,94.59
7.469,1.337,94.58
7.466,1.336,94.6
7.474,1.339,94.57
7.476,1.338,94.55
7.466,1.339,94.54
7.471,1.338,94.58
7.47,1.339,94.54
7.468,1.339,94.55
7.47,1.338,94.56
7.463,1.339,94.55
7.469,1.338,94.56
7.464,1.338,94.57
7.465,1.34,94.55
7.471,1.339,94.56
7.468,1.336,94.58
7.478,1.339,94.56
7.468,1.338,94.58
7.471,1.338,94.59
7.475,1.335,94.57
7.471,1.338,94.58
7.465,1.337,94.54
7.462,1.338,94.59
7.47,1.339,94.57
7.47,1.338,94.55
7.483,1.339,94.59
7.481,1.339,94.57
7.48,1.336,94.66
7.486,1.337,94.59
7.477,1.339,94.58
7.468,1.341,94.52
7.455,1.339,94.53
7.47,1.336,94.6
7.468,1.337,94.59
7.468,1.338,94.58
7.477,1.336,94.62
7.476,1.336,94.58
7.474,1.338,94.62
7.466,1.339,94.58
7.484,1.338,94.6
7.467,1.336,94.57
7.476,1.336,94.61
7.463,1.338,94.55
7.476,1.335,94.58
7.465,1.336,94.6
7.475,1.337,94.59
7.467,1.337,94.58
7.462,1.337,94.54
7.464,1.338,94.56
7.467,1.337,94.56
7.464,1.34,94.54
7.476,1.336,94.56
7.467,1.336,94.61
7.477,1.335,94.59
7.466,1.337,94.57
7.481,1.336,94.63
7.472,1.336,94.61
7.472,1.34,94.54
7.47,1.338,94.54
7.481,1.34,94.59
7.485,1.335,94.63
7.485,1.336,94.6
7.475,1.338,94.61
7.476,1.338,94.59
7.475,1.337,94.6
7.47,1.336,94.59
7.473,1.339,94.6
7.465,1.338,94.58
7.477,1.335,94.61
7.464,1.34,94.53
7.472,1.339,94.57
7.459,1.339,94.51
7.455,1.338,94.55
7.464,1.337,94.58
7.458,1.341,94.5
7.467,1.339,94.52
7.461,1.339,94.53
7.476,1.336,94.54
7.479,1.338,94.56
7.472,1.338,94.59
7.469,1.338,94.58
7.47,1.338,94.57
7.46,1.343,94.55
7.464,1.339,94.55
7.469,1.34,94.57
7.47,1.337,94.57
7.479,1.338,94.59
7.481,1.338,94.61
7.466,1.339,94.55
7.465,1.337,94.55
7.462,1.34,94.55
7.47,1.339,94.59
7.458,1.338,94.54
7.459,1.339,94.54
7.446,1.339,94.49
7.465,1.338,94.56
7.47,1.338,94.59
7.469,1.34,94.56
7.482,1.337,94.6
7.467,1.336,94.6
7.459,1.34,94.54
7.461,1.339,94.52
7.472,1.339,94.56
7.477,1.338,94.59
7.467,1.339,94.56
7.468,1.337,94.59
7.479,1.337,94.6
7.474,1.338,94.56
7.466,1.337,94.58
7.463,1.336,94.59
7.469,1.335,94.63
7.475,1.335,94.63
7.468,1.337,94.58
7.482,1.336,94.65
7.478,1.334,94.65
7.486,1.339,94.59
7.456,1.338,94.56
7.483,1.337,94.6
7.475,1.336,94.59
7.468,1.339,94.56
7.468,1.338,94.56
7.464,1.338,94.56
7.469,1.338,94.59
7.476,1.336,94.57
7.482,1.336,94.62
7.477,1.337,94.59
7.468,1.338,94.59
7.457,1.339,94.53
7.471,1.341,94.56
7.473,1.339,94.56
7.476,1.337,94.58
7.466,1.335,94.58
7.461,1.338,94.54
7.469,1.34,94.56
7.467,1.34,94.57
7.459,1.341,94.52
7.46,1.34,94.51
7.481,1.334,94.62
7.449,1.338,94.54
7.451,1.341,94.57
7.47,1.339,94.6
7.462,1.338,94.56
7.475,1.337,94.61
7.478,1.338,94.61
7.465,1.339,94.57
7.467,1.339,94.58
7.463,1.339,94.53
7.464,1.34,94.57
7.478,1.337,94.6
7.464,1.339,94.58
7.473,1.338,94.57
7.468,1.339,94.59
7.478,1.339,94.59
7.461,1.334,94.61
7.459,1.338,94.57
7.479,1.337,94.59
7.481,1.338,94.58
7.473,1.337,94.58
7.464,1.336,94.63
7.46,1.34,94.54
7.461,1.34,94.52
7.473,1.339,94.57
7.459,1.338,94.53
7.467,1.337,94.59
7.461,1.337,94.57
7.462,1.339,94.56
7.46,1.338,94.55
7.461,1.339,94.55
7.48,1.335,94.59
7.485,1.334,94.62
7.481,1.335,94.63
7.462,1.337,94.56
7.459,1.338,94.55
7.461,1.337,94.58
7.478,1.337,94.64
7.459,1.339,94.56
7.48,1.339,94.55
7.468,1.339,94.57
7.457,1.337,94.59
7.468,1.336,94.62
7.464,1.337,94.64
7.483,1.335,94.64
7.465,1.338,94.6
7.474,1.339,94.53
7.47,1.338,94.56
7.468,1.338,94.55
7.446,1.34,94.5
7.461,1.338,94.53
7.472,1.338,94.57
7.478,1.339,94.59
7.466,1.339,94.54
7.483,1.335,94.6
7.461,1.338,94.57
7.473,1.34,94.56
7.484,1.339,94.58
7.479,1.337,94.59
7.464,1.337,94.58
7.47,1.336,94.62
7.467,1.337,94.56
7.46,1.338,94.58
7.47,1.339,94.61
7.469,1.337,94.58
7.462,1.337,94.55
7.455,1.337,94.54
7.463,1.337,94.56
7.469,1.338,94.57
7.474,1.338,94.59
7.471,1.339,94.6
7.472,1.336,94.59
7.456,1.34,94.51
7.472,1.338,94.55
7.466,1.338,94.55
7.471,1.337,94.58
7.467,1.34,94.55
7.474,1.338,94.54
7.478,1.334,94.66
7.457,1.341,94.55
7.465,1.341,94.55
7.474,1.337,94.62
7.476,1.337,94.63
7.472,1.337,94.6
7.467,1.338,94.58
7.468,1.338,94.57
7.475,1.337,94.61
7.463,1.336,94.58
7.471,1.339,94.53
7.471,1.338,94.55
7.476,1.336,94.58
7.475,1.337,94.61
7.478,1.337,94.58
7.475,1.334,94.58
7.471,1.336,94.58
7.468,1.338,94.56
7.47,1.337,94.6
7.46,1.337,94.53
7.467,1.338,94.56
7.462,1.336,94.58
7.46,1.34,94.55
7.471,1.338,94.59
7.461,1.338,94.59
7.475,1.336,94.57
7.472,1.337,94.6
7.471,1.335,94.59
7.463,1.336,94.56
7.468,1.338,94.58
7.458,1.337,94.57
7.464,1.337,94.54
7.467,1.338,94.55
7.483,1.334,94.63
7.472,1.336,94.59
7.461,1.336,94.56
7.469,1.339,94.54
7.461,1.34,94.55
7.474,1.336,94.62
7.476,1.337,94.59
7.48,1.335,94.59
7.476,1.335,94.6
7.471,1.336,94.58
7.472,1.336,94.59
7.47,1.338,94.6
7.474,1.339,94.56
7.467,1.337,94.57
7.474,1.335,94.6
7.472,1.335,94.59
7.482,1.337,94.61
7.481,1.335,94.6
7.473,1.335,94.62
7.468,1.336,94.55
7.464,1.338,94.57
7.472,1.337,94.53
7.453,1.339,94.54
7.467,1.34,94.59
7.466,1.341,94.55
7.455,1.336,94.58
7.454,1.34,94.51
7.471,1.341,94.55
7.465,1.336,94.58
7.466,1.339,94.55
7.482,1.337,94.6
7.47,1.34,94.54
7.473,1.339,94.58
7.464,1.338,94.56
7.461,1.338,94.52
7.472,1.338,94.58
7.466,1.337,94.58
7.479,1.337,94.59
7.463,1.339,94.52
7.477,1.339,94.58
7.479,1.338,94.62
7.471,1.336,94.58
7.479,1.335,94.61
7.467,1.337,94.6
7.474,1.336,94.61
7.477,1.338,94.6
7.474,1.337,94.59
7.472,1.339,94.54
7.474,1.34,94.55
7.467,1.339,94.55
7.477,1.337,94.61
7.469,1.338,94.56
7.465,1.336,94.57
7.466,1.339,94.55
7.466,1.337,94.57
7.475,1.337,94.6
7.485,1.336,94.6
7.481,1.336,94.64
7.477,1.339,94.57
7.47,1.34,94.56
7.463,1.339,94.56
7.465,1.34,94.55
7.461,1.338,94.54
7.462,1.339,94.54
7.451,1.343,94.51
7.462,1.34,94.54
7.465,1.339,94.56
7.47,1.34,94.53
7.462,1.341,94.55
7.458,1.34,94.52
7.466,1.34,94.56
7.454,1.338,94.56
7.466,1.337,94.55
7.463,1.337,94.61
7.473,1.336,94.61
7.484,1.337,94.63
7.477,1.338,94.56
7.467,1.338,94.57
7.486,1.335,94.63
7.474,1.339,94.53
7.478,1.338,94.61
7.477,1.339,94.6
7.491,1.339,94.65
7.468,1.337,94.57
7.471,1.339,94.6
7.474,1.339,94.6
7.462,1.338,94.56
7.463,1.338,94.57
7.459,1.337,94.57
7.459,1.339,94.56
7.473,1.339,94.58
7.471,1.337,94.59
7.471,1.337,94.57
7.457,1.341,94.55
7.465,1.34,94.55
7.473,1.339,94.6
7.476,1.337,94.58
7.481,1.337,94.59
7.47,1.335,94.61
7.473,1.338,94.6
7.471,1.34,94.57
7.475,1.337,94.6
7.467,1.338,94.57
7.483,1.335,94.64
7.472,1.337,94.58
7.456,1.338,94.55
7.479,1.334,94.65
7.465,1.339,94.53
7.47,1.339,94.59
7.472,1.337,94.6
7.487,1.334,94.6
7.479,1.335,94.59
7.47,1.337,94.58
7.466,1.336,94.57
7.468,1.339,94.58
7.476,1.336,94.6
7.47,1.336,94.6
7.472,1.338,94.59
7.462,1.338,94.55
7.448,1.34,94.52
7.478,1.337,94.61
7.479,1.339,94.64
7.46,1.342,94.5
7.461,1.339,94.57
7.462,1.339,94.56
7.473,1.339,94.58
7.454,1.34,94.54
7.456,1.341,94.54
7.465,1.34,94.53
7.477,1.338,94.59
7.476,1.337,94.58
7.477,1.336,94.57
7.475,1.334,94.64
7.482,1.337,94.61
7.475,1.336,94.62
7.463,1.341,94.54
7.477,1.338,94.59
7.486,1.338,94.64
7.464,1.338,94.55
7.463,1.339,94.56
7.464,1.339,94.56
7.481,1.338,94.6
7.464,1.339,94.57
7.474,1.336,94.59
7.464,1.338,94.56
7.469,1.338,94.57
7.475,1.337,94.58
7.464,1.339,94.53
7.472,1.335,94.61
7.488,1.336,94.66
7.471,1.339,94.56
7.476,1.337,94.57
7.474,1.337,94.57
7.476,1.338,94.56
7.465,1.338,94.55
7.468,1.337,94.58
7.476,1.335,94.61
7.463,1.336,94.56
7.451,1.34,94.53
7.461,1.34,94.53
7.484,1.338,94.63
7.469,1.337,94.57
7.475,1.337,94.58
7.486,1.335,94.61
7.476,1.335,94.57
7.473,1.338,94.56
7.468,1.342,94.54
7.467,1.338,94.6
7.469,1.337,94.61
7.473,1.339,94.55
7.469,1.339,94.56
7.469,1.337,94.6
7.473,1.336,94.61
7.474,1.337,94.63
7.479,1.335,94.63
7.475,1.336,94.6
7.483,1.338,94.61
7.465,1.338,94.56
7.473,1.338,94.63
7.464,1.341,94.61
7.484,1.336,94.65
7.467,1.339,94.59
7.465,1.34,94.55
7.457,1.336,94.55
7.465,1.338,94.59
7.467,1.337,94.57
7.462,1.34,94.57
7.466,1.339,94.58
7.458,1.338,94.56
7.463,1.34,94.55
7.471,1.339,94.56
7.473,1.337,94.61
7.468,1.339,94.55
7.469,1.336,94.56
7.463,1.341,94.58
7.47,1.338,94.57
7.474,1.337,94.57
7.468,1.338,94.58
7.465,1.339,94.56
7.472,1.336,94.61
7.47,1.339,94.58
7.463,1.338,94.55
7.47,1.337,94.55
7.471,1.337,94.59
7.464,1.34,94.52
7.462,1.34,94.52
7.469,1.339,94.53
7.469,1.339,94.61
7.469,1.341,94.56
7.474,1.338,94.59
7.47,1.338,94.58
7.46,1.338,94.59
7.456,1.34,94.52
7.457,1.341,94.54
7.475,1.338,94.55
7.458,1.337,94.57
7.464,1.338,94.54
7.457,1.339,94.53
7.463,1.339,94.52
7.467,1.338,94.61
7.47,1.337,94.6
7.464,1.338,94.58
7.466,1.337,94.57
7.48,1.336,94.64
7.477,1.336,94.63
7.477,1.34,94.56
7.472,1.338,94.56
7.473,1.339,94.53
7.459,1.34,94.51
7.471,1.339,94.54
7.467,1.34,94.56
7.453,1.339,94.57
7.481,1.335,94.62
7.469,1.338,94.59
7.477,1.336,94.63
7.473,1.339,94.58
7.466,1.338,94.54
7.484,1.336,94.6
7.473,1.338,94.59
7.477,1.337,94.62
7.468,1.335,94.56
7.481,1.334,94.61
7.477,1.337,94.61
7.47,1.338,94.58
7.478,1.337,94.57
7.471,1.336,94.57
7.465,1.337,94.57
7.468,1.337,94.59
7.476,1.339,94.58
7.466,1.339,94.56
7.482,1.338,94.61
7.469,1.34,94.59
7.477,1.338,94.61
7.463,1.338,94.57
7.463,1.337,94.54
7.47,1.336,94.6
7.467,1.338,94.58
7.468,1.341,94.56
7.477,1.335,94.61
7.462,1.338,94.56
7.467,1.335,94.6
7.469,1.339,94.6
7.472,1.337,94.6
7.466,1.339,94.55
7.463,1.336,94.59
7.475,1.338,94.59
7.476,1.341,94.56
7.465,1.337,94.55
7.469,1.339,94.54
7.464,1.338,94.56
7.475,1.336,94.57
7.462,1.34,94.58
7.461,1.341,94.51
7.467,1.338,94.55
7.468,1.338,94.53
7.47,1.338,94.58
7.464,1.34,94.51
7.462,1.338,94.55
7.468,1.336,94.58
7.497,1.336,94.65
7.485,1.338,94.63
7.466,1.34,94.59
7.467,1.338,94.56
7.472,1.337,94.58
7.479,1.336,94.61
7.467,1.339,94.58
7.463,1.34,94.52
7.463,1.339,94.53
7.475,1.337,94.56
7.477,1.337,94.59
7.46,1.337,94.53
7.463,1.338,94.57
7.468,1.337,94.57
7.461,1.343,94.54
7.476,1.339,94.58
7.461,1.338,94.57
7.469,1.337,94.57
7.46,1.338,94.56
7.486,1.339,94.63
7.484,1.339,94.6
7.468,1.342,94.54
7.463,1.335,94.58
