hERG_IC50,hERG_h,hERG_Bmax
18740,1.105,86.15
18720,1.106,86.14
18740,1.105,86.15
18730,1.106,86.15
18710,1.107,86.14
18720,1.107,86.14
18720,1.106,86.14
18690,1.108,86.12
18730,1.106,86.15
18740,1.105,86.15
18730,1.106,86.15
18720,1.106,86.14
18720,1.106,86.14
18750,1.105,86.16
18730,1.106,86.14
18700,1.108,86.13
18710,1.107,86.13
18710,1.107,86.13
18700,1.107,86.13
18730,1.106,86.15
18710,1.107,86.13
18730,1.106,86.15
18720,1.106,86.14
18690,1.108,86.12
18720,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18740,1.105,86.15
18720,1.106,86.14
18700,1.107,86.13
18720,1.107,86.14
18700,1.108,86.12
18720,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18720,1.107,86.14
18730,1.106,86.15
18740,1.105,86.15
18710,1.107,86.13
18720,1.106,86.14
18710,1.107,86.14
18720,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18700,1.108,86.13
18720,1.107,86.14
18730,1.106,86.14
18710,1.107,86.14
18720,1.107,86.14
18730,1.106,86.14
18730,1.106,86.14
18700,1.107,86.13
18710,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18740,1.105,86.15
18710,1.107,86.13
18710,1.107,86.13
18700,1.107,86.13
18730,1.106,86.14
18710,1.107,86.13
18730,1.106,86.14
18730,1.106,86.14
18710,1.107,86.13
18700,1.108,86.13
18710,1.107,86.13
18700,1.108,86.12
18710,1.107,86.13
18730,1.106,86.14
18720,1.106,86.14
18730,1.106,86.14
18710,1.107,86.13
18720,1.107,86.14
18700,1.108,86.13
18710,1.107,86.13
18720,1.106,86.14
18710,1.107,86.13
18730,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.14
18720,1.106,86.14
18710,1.107,86.13
18720,1.107,86.14
18710,1.107,86.13
18710,1.107,86.13
18730,1.106,86.15
18720,1.107,86.14
18710,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18700,1.107,86.13
18700,1.107,86.13
18710,1.107,86.13
18720,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18730,1.106,86.14
18730,1.106,86.14
18700,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.14
18720,1.107,86.14
18710,1.107,86.14
18720,1.106,86.14
18720,1.107,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18720,1.106,86.14
18710,1.107,86.13
18720,1.106,86.14
18700,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18700,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18720,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18710,1.107,86.13
18700,1.108,86.13
18710,1.107,86.14
18730,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.106,86.14
18700,1.107,86.13
18730,1.106,86.15
18740,1.105,86.15
18720,1.106,86.14
18740,1.105,86.15
18720,1.106,86.14
18690,1.108,86.12
18700,1.108,86.13
18720,1.106,86.14
18720,1.106,86.14
18730,1.106,86.14
18730,1.106,86.14
18720,1.106,86.14
18730,1.106,86.15
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18730,1.106,86.15
18740,1.106,86.15
18740,1.105,86.15
18730,1.106,86.15
18730,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18700,1.108,86.13
18710,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18730,1.106,86.14
18720,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18690,1.108,86.12
18700,1.108,86.12
18710,1.107,86.13
18720,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18700,1.108,86.12
18690,1.108,86.12
18710,1.107,86.13
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18710,1.107,86.14
18740,1.105,86.15
18730,1.106,86.15
18730,1.106,86.15
18710,1.107,86.13
18740,1.105,86.15
18740,1.106,86.15
18700,1.108,86.13
18730,1.106,86.15
18740,1.106,86.15
18720,1.106,86.14
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18710,1.107,86.13
18730,1.106,86.15
18720,1.106,86.14
18710,1.107,86.14
18700,1.108,86.12
18710,1.107,86.14
18720,1.107,86.14
18710,1.107,86.14
18720,1.106,86.14
18700,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18740,1.106,86.15
18700,1.107,86.13
18710,1.107,86.13
18720,1.107,86.14
18710,1.107,86.14
18720,1.106,86.14
18710,1.107,86.14
18720,1.106,86.14
18720,1.107,86.14
18730,1.106,86.14
18710,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18730,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18720,1.106,86.14
18710,1.107,86.13
18710,1.107,86.13
18720,1.107,86.14
18720,1.106,86.14
18700,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18700,1.107,86.13
18700,1.107,86.13
18740,1.106,86.15
18720,1.107,86.14
18730,1.106,86.15
18710,1.107,86.13
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.14
18730,1.106,86.14
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18720,1.107,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18730,1.106,86.15
18710,1.107,86.13
18720,1.106,86.14
18720,1.107,86.14
18730,1.106,86.15
18740,1.106,86.15
18740,1.105,86.15
18720,1.106,86.14
18710,1.107,86.13
18720,1.106,86.14
18730,1.106,86.14
18740,1.105,86.15
18730,1.106,86.15
18720,1.106,86.14
18720,1.107,86.14
18700,1.108,86.13
18730,1.106,86.15
18730,1.106,86.15
18740,1.105,86.15
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.15
18740,1.105,86.15
18720,1.107,86.14
18710,1.107,86.14
18730,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18700,1.107,86.13
18730,1.106,86.14
18720,1.107,86.14
18730,1.106,86.15
18720,1.106,86.14
18730,1.106,86.15
18730,1.106,86.14
18740,1.106,86.15
18740,1.105,86.15
18710,1.107,86.14
18700,1.107,86.13
18740,1.106,86.15
18720,1.107,86.14
18740,1.105,86.15
18740,1.105,86.15
18730,1.106,86.15
18710,1.107,86.13
18730,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18710,1.107,86.14
18720,1.106,86.14
18710,1.107,86.13
18730,1.106,86.15
18710,1.107,86.13
18740,1.106,86.15
18730,1.106,86.14
18710,1.107,86.13
18730,1.106,86.15
18720,1.106,86.14
18700,1.107,86.13
18710,1.107,86.13
18700,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18720,1.107,86.14
18710,1.107,86.13
18720,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18700,1.108,86.12
18720,1.106,86.14
18740,1.106,86.15
18740,1.105,86.15
18710,1.107,86.13
18720,1.107,86.14
18720,1.106,86.14
18750,1.105,86.16
18750,1.105,86.16
18740,1.105,86.15
18700,1.107,86.13
18730,1.106,86.14
18730,1.106,86.14
18730,1.106,86.14
18720,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18710,1.107,86.14
18710,1.107,86.13
18700,1.108,86.12
18720,1.106,86.14
18710,1.107,86.13
18710,1.107,86.13
18700,1.107,86.13
18690,1.108,86.12
18710,1.107,86.13
18720,1.107,86.14
18720,1.106,86.14
18710,1.107,86.13
18700,1.108,86.12
18720,1.107,86.14
18730,1.106,86.15
18740,1.105,86.15
18750,1.105,86.16
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18700,1.108,86.12
18720,1.106,86.14
18710,1.107,86.13
18730,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18700,1.108,86.13
18720,1.106,86.14
18740,1.105,86.15
18730,1.106,86.14
18710,1.107,86.13
18700,1.107,86.13
18720,1.106,86.14
18740,1.105,86.15
18710,1.107,86.13
18710,1.107,86.13
18730,1.106,86.15
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18730,1.106,86.15
18720,1.106,86.14
18710,1.107,86.13
18690,1.108,86.12
18730,1.106,86.14
18710,1.107,86.13
18710,1.107,86.13
18720,1.106,86.14
18720,1.107,86.14
18730,1.106,86.14
18700,1.107,86.13
18720,1.106,86.14
18710,1.107,86.14
18710,1.107,86.14
18710,1.107,86.13
18720,1.106,86.14
18700,1.108,86.12
18690,1.108,86.12
18720,1.107,86.14
18720,1.106,86.14
18710,1.107,86.13
18710,1.107,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.107,86.14
18700,1.107,86.13
18720,1.107,86.14
18720,1.107,86.14
18710,1.107,86.14
18720,1.106,86.14
18740,1.106,86.15
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.14
18740,1.105,86.15
18740,1.105,86.15
18740,1.105,86.15
18720,1.107,86.14
18730,1.106,86.14
18730,1.106,86.14
18730,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18720,1.106,86.14
18730,1.106,86.15
18730,1.106,86.15
18720,1.107,86.14
18720,1.106,86.14
18740,1.105,86.15
18720,1.107,86.14
18730,1.106,86.15
18730,1.106,86.14
18730,1.106,86.14
18710,1.107,86.14
18710,1.107,86.13
18700,1.107,86.13
18720,1.107,86.14
18730,1.106,86.15
18680,1.109,86.11
18700,1.107,86.13
18710,1.107,86.13
18720,1.107,86.14
18710,1.107,86.14
18710,1.107,86.13
18730,1.106,86.15
18720,1.106,86.14
18740,1.105,86.15
18720,1.106,86.14
18700,1.107,86.13
18740,1.105,86.15
18720,1.107,86.14
18730,1.106,86.15
18720,1.107,86.14
18700,1.108,86.12
18720,1.107,86.14
18700,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18730,1.106,86.15
18730,1.106,86.15
18710,1.107,86.13
18720,1.106,86.14
18720,1.106,86.14
18740,1.105,86.15
18720,1.106,86.14
18740,1.105,86.15
18700,1.107,86.13
18730,1.106,86.14
18730,1.106,86.15
18730,1.106,86.14
18730,1.106,86.15
18740,1.105,86.15
18740,1.105,86.15
18710,1.107,86.13
18720,1.106,86.14
18700,1.108,86.13
18740,1.106,86.15
18710,1.107,86.13
18720,1.107,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18730,1.106,86.14
18710,1.107,86.13
18710,1.107,86.13
18700,1.107,86.13
18700,1.107,86.13
18710,1.107,86.13
18700,1.108,86.13
18720,1.107,86.14
18710,1.107,86.13
18730,1.106,86.14
18720,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18720,1.107,86.14
18740,1.105,86.15
18730,1.106,86.15
18730,1.106,86.15
18710,1.107,86.13
18720,1.106,86.14
18730,1.106,86.15
18750,1.105,86.16
18750,1.105,86.16
18740,1.105,86.15
18730,1.106,86.15
18720,1.106,86.14
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.14
18730,1.106,86.15
18710,1.107,86.14
18710,1.107,86.14
18700,1.107,86.13
18700,1.107,86.13
18700,1.107,86.13
18700,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18730,1.106,86.14
18720,1.107,86.14
18690,1.108,86.12
18700,1.108,86.12
18720,1.107,86.14
18730,1.106,86.15
18710,1.107,86.13
18720,1.107,86.14
18730,1.106,86.15
18730,1.106,86.15
18740,1.105,86.15
18730,1.106,86.15
18730,1.106,86.14
18720,1.106,86.14
18720,1.107,86.14
18730,1.106,86.15
18720,1.107,86.14
18720,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.106,86.14
18710,1.107,86.13
18720,1.106,86.14
18710,1.107,86.13
18700,1.108,86.13
18720,1.107,86.14
18700,1.107,86.13
18720,1.107,86.14
18700,1.108,86.13
18700,1.108,86.12
18700,1.108,86.12
18730,1.106,86.15
18710,1.107,86.13
18720,1.107,86.14
18730,1.106,86.14
18720,1.106,86.14
18720,1.106,86.14
18730,1.106,86.15
18720,1.107,86.14
18730,1.106,86.15
18720,1.106,86.14
18700,1.107,86.13
18710,1.107,86.13
18700,1.107,86.13
18720,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18730,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18720,1.107,86.14
18720,1.107,86.14
18730,1.106,86.15
18700,1.108,86.12
18720,1.107,86.14
18740,1.106,86.15
18720,1.107,86.14
18710,1.107,86.13
18740,1.105,86.15
18720,1.106,86.14
18730,1.106,86.15
18710,1.107,86.13
18720,1.107,86.14
18710,1.107,86.13
18730,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18730,1.106,86.15
18750,1.104,86.16
18740,1.105,86.15
18730,1.106,86.14
18720,1.107,86.14
18720,1.107,86.14
18710,1.107,86.13
18710,1.107,86.13
18730,1.106,86.14
18710,1.107,86.14
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18740,1.105,86.15
18720,1.107,86.14
18700,1.108,86.12
18700,1.108,86.12
18740,1.105,86.15
18750,1.105,86.16
18740,1.106,86.15
18740,1.106,86.15
18730,1.106,86.15
18720,1.107,86.14
18730,1.106,86.14
18680,1.108,86.12
18690,1.108,86.12
18700,1.107,86.13
18730,1.106,86.14
18700,1.108,86.13
18710,1.107,86.13
18720,1.107,86.14
18720,1.106,86.14
18700,1.107,86.13
18730,1.106,86.14
18720,1.107,86.14
18720,1.107,86.14
18730,1.106,86.15
18720,1.106,86.14
18720,1.106,86.14
18720,1.106,86.14
18730,1.106,86.14
18730,1.106,86.14
18710,1.107,86.13
18750,1.105,86.16
18730,1.106,86.14
18720,1.106,86.14
18740,1.106,86.15
18720,1.106,86.14
18740,1.106,86.15
18710,1.107,86.13
18690,1.108,86.12
18720,1.106,86.14
18700,1.107,86.13
18720,1.107,86.14
18720,1.107,86.14
18720,1.106,86.14
18710,1.107,86.13
18700,1.108,86.13
18730,1.106,86.14
18730,1.106,86.15
18750,1.105,86.16
18720,1.107,86.14
18720,1.106,86.14
18720,1.107,86.14
18720,1.106,86.14
18720,1.106,86.14
18720,1.106,86.14
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.15
18710,1.107,86.13
18730,1.106,86.14
18730,1.106,86.15
18720,1.106,86.14
18710,1.107,86.14
18730,1.106,86.15
18710,1.107,86.13
18710,1.107,86.13
18720,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18710,1.107,86.13
18690,1.108,86.12
18720,1.107,86.14
18730,1.106,86.15
18730,1.106,86.15
18730,1.106,86.14
18710,1.107,86.13
18720,1.106,86.14
18710,1.107,86.13
18710,1.107,86.13
18720,1.106,86.14
18720,1.107,86.14
18710,1.107,86.13
18700,1.108,86.13
18720,1.107,86.14
18710,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18730,1.106,86.15
18710,1.107,86.13
18700,1.108,86.12
18700,1.108,86.13
18700,1.107,86.13
18710,1.107,86.13
18710,1.107,86.13
18700,1.107,86.13
18720,1.106,86.14
18730,1.106,86.15
18730,1.106,86.15
18740,1.105,86.15
18710,1.107,86.13
18740,1.106,86.15
18720,1.106,86.14
18710,1.107,86.13
18700,1.107,86.13
18720,1.106,86.14
18730,1.106,86.14
18710,1.107,86.13
