hERG_IC50,hERG_h,hERG_Bmax
17320,1.111,89.58
17340,1.11,89.6
17320,1.111,89.58
17330,1.111,89.57
17330,1.11,89.59
17330,1.112,89.56
17340,1.113,89.57
17320,1.11,89.58
17350,1.11,89.61
17330,1.11,89.59
17330,1.109,89.59
17320,1.11,89.58
17330,1.109,89.58
17320,1.112,89.55
17340,1.111,89.59
17310,1.111,89.57
17320,1.11,89.59
17310,1.11,89.57
17330,1.113,89.57
17320,1.111,89.57
17330,1.108,89.6
17330,1.11,89.59
17300,1.113,89.55
17350,1.111,89.59
17320,1.112,89.58
17330,1.11,89.6
17320,1.11,89.57
17340,1.11,89.57
17340,1.11,89.58
17320,1.11,89.56
17330,1.112,89.55
17310,1.11,89.56
17330,1.109,89.59
17310,1.11,89.55
17320,1.109,89.58
17330,1.111,89.58
17350,1.11,89.59
17340,1.11,89.59
17310,1.11,89.56
17320,1.111,89.55
17330,1.11,89.58
17320,1.111,89.56
17310,1.112,89.55
17310,1.111,89.57
17300,1.111,89.56
17320,1.11,89.56
17300,1.111,89.55
17310,1.111,89.56
17340,1.112,89.59
17330,1.111,89.58
17330,1.114,89.56
17340,1.11,89.6
17340,1.11,89.6
17330,1.11,89.58
17340,1.111,89.56
17360,1.11,89.58
17340,1.113,89.58
17330,1.112,89.59
17330,1.111,89.58
17310,1.111,89.56
17320,1.111,89.58
17320,1.11,89.55
17350,1.111,89.58
17340,1.108,89.61
17310,1.111,89.56
17310,1.111,89.56
17330,1.111,89.57
17340,1.11,89.58
17330,1.11,89.59
17340,1.11,89.58
17320,1.11,89.58
17320,1.11,89.59
17330,1.11,89.59
17320,1.111,89.59
17340,1.11,89.6
17310,1.11,89.56
17320,1.111,89.58
17340,1.112,89.57
17350,1.11,89.58
17320,1.111,89.6
17330,1.111,89.58
17330,1.111,89.57
17330,1.11,89.58
17320,1.111,89.57
17310,1.11,89.57
17320,1.112,89.53
17340,1.11,89.57
17330,1.109,89.58
17320,1.11,89.57
17310,1.111,89.57
17330,1.109,89.59
17310,1.11,89.57
17300,1.111,89.58
17330,1.11,89.59
17330,1.11,89.57
17350,1.11,89.6
17320,1.112,89.57
17330,1.11,89.58
17340,1.11,89.59
17340,1.11,89.59
17300,1.11,89.57
17300,1.11,89.56
17320,1.11,89.59
17320,1.11,89.59
17340,1.11,89.59
17330,1.11,89.61
17310,1.11,89.57
17340,1.11,89.57
17340,1.111,89.58
17340,1.11,89.57
17320,1.111,89.58
17330,1.11,89.61
17340,1.109,89.6
17330,1.111,89.58
17300,1.111,89.55
17330,1.11,89.59
17320,1.111,89.57
17320,1.109,89.54
17310,1.11,89.56
17330,1.111,89.57
17330,1.113,89.57
17320,1.111,89.6
17300,1.112,89.57
17290,1.113,89.55
17330,1.112,89.57
17330,1.112,89.57
17310,1.111,89.58
17320,1.111,89.59
17340,1.108,89.61
17330,1.108,89.58
17300,1.111,89.55
17320,1.109,89.55
17310,1.113,89.55
17330,1.112,89.56
17330,1.111,89.58
17340,1.111,89.59
17350,1.11,89.6
17330,1.11,89.59
17360,1.11,89.58
17340,1.11,89.59
17310,1.11,89.56
17330,1.111,89.56
17300,1.112,89.56
17310,1.109,89.58
17340,1.11,89.61
17360,1.109,89.59
17340,1.109,89.6
17320,1.109,89.6
17340,1.109,89.61
17320,1.111,89.59
17340,1.11,89.59
17320,1.111,89.58
17320,1.109,89.58
17370,1.11,89.62
17340,1.11,89.58
17370,1.109,89.59
17390,1.11,89.6
17330,1.111,89.57
17340,1.111,89.6
17320,1.11,89.58
17300,1.11,89.58
17330,1.11,89.57
17320,1.111,89.56
17330,1.11,89.57
17330,1.11,89.57
17310,1.111,89.55
17330,1.11,89.56
17330,1.109,89.57
17350,1.109,89.57
17340,1.11,89.58
17320,1.112,89.57
17320,1.111,89.58
17350,1.109,89.59
17320,1.109,89.57
17340,1.11,89.58
17300,1.11,89.57
17310,1.111,89.57
17320,1.111,89.56
17320,1.109,89.58
17320,1.109,89.58
17330,1.11,89.59
17330,1.111,89.57
17320,1.111,89.57
17300,1.109,89.55
17340,1.11,89.58
17330,1.111,89.58
17340,1.111,89.58
17300,1.111,89.56
17330,1.11,89.57
17340,1.11,89.59
17320,1.109,89.59
17320,1.111,89.59
17330,1.108,89.59
17340,1.109,89.61
17320,1.11,89.57
17320,1.11,89.57
17340,1.11,89.58
17340,1.109,89.59
17320,1.112,89.58
17360,1.109,89.6
17330,1.111,89.55
17320,1.11,89.58
17330,1.11,89.6
17320,1.112,89.58
17290,1.112,89.55
17300,1.11,89.56
17320,1.11,89.58
17340,1.111,89.56
17310,1.11,89.57
17320,1.11,89.58
17330,1.111,89.58
17340,1.11,89.59
17310,1.112,89.58
17300,1.111,89.57
17350,1.111,89.57
17350,1.11,89.6
17330,1.11,89.58
17330,1.111,89.59
17340,1.109,89.59
17300,1.109,89.58
17350,1.11,89.58
17330,1.11,89.57
17330,1.11,89.58
17330,1.11,89.57
17330,1.111,89.57
17320,1.11,89.58
17330,1.112,89.54
17320,1.112,89.56
17340,1.109,89.59
17320,1.11,89.6
17330,1.111,89.58
17320,1.11,89.59
17290,1.112,89.55
17330,1.11,89.57
17330,1.11,89.59
17360,1.111,89.57
17340,1.108,89.62
17320,1.109,89.58
17320,1.11,89.56
17340,1.112,89.58
17300,1.11,89.55
17290,1.11,89.56
17310,1.11,89.58
17350,1.111,89.59
17310,1.11,89.57
17350,1.111,89.59
17340,1.109,89.6
17310,1.111,89.56
17300,1.11,89.56
17300,1.109,89.56
17350,1.111,89.6
17350,1.111,89.59
17350,1.111,89.61
17340,1.11,89.59
17330,1.109,89.58
17330,1.108,89.58
17320,1.11,89.56
17340,1.11,89.59
17330,1.11,89.57
17320,1.11,89.59
17310,1.11,89.56
17330,1.111,89.58
17310,1.109,89.61
17300,1.11,89.59
17310,1.112,89.55
17320,1.11,89.59
17310,1.11,89.59
17320,1.11,89.58
17330,1.109,89.6
17330,1.11,89.58
17340,1.11,89.6
17320,1.11,89.59
17330,1.11,89.61
17310,1.109,89.6
17320,1.111,89.57
17330,1.111,89.57
17310,1.111,89.58
17330,1.109,89.58
17330,1.109,89.6
17320,1.109,89.57
17310,1.11,89.56
17300,1.11,89.54
17340,1.111,89.6
17320,1.11,89.57
17320,1.11,89.58
17320,1.111,89.57
17330,1.11,89.58
17310,1.11,89.58
17340,1.11,89.58
17340,1.11,89.59
17350,1.11,89.58
17340,1.111,89.57
17310,1.111,89.56
17340,1.11,89.57
17320,1.11,89.58
17340,1.111,89.57
17330,1.111,89.59
17340,1.109,89.59
17320,1.111,89.58
17320,1.111,89.59
17340,1.11,89.57
17350,1.111,89.58
17320,1.109,89.57
17350,1.11,89.58
17330,1.11,89.55
17330,1.11,89.58
17320,1.11,89.57
17310,1.112,89.55
17300,1.112,89.56
17320,1.11,89.6
17320,1.11,89.57
17340,1.11,89.6
17330,1.109,89.62
17320,1.111,89.57
17330,1.112,89.56
17310,1.112,89.55
17340,1.112,89.58
17330,1.112,89.57
17310,1.11,89.57
17300,1.111,89.55
17320,1.11,89.58
17340,1.111,89.57
17350,1.109,89.59
17330,1.11,89.58
17320,1.111,89.58
17350,1.108,89.61
17330,1.109,89.61
17340,1.11,89.58
17330,1.11,89.59
17310,1.11,89.58
17300,1.11,89.56
17310,1.11,89.57
17340,1.111,89.57
17350,1.11,89.59
17330,1.111,89.59
17330,1.109,89.57
17350,1.111,89.59
17320,1.11,89.59
17350,1.11,89.58
17330,1.111,89.59
17330,1.111,89.58
17310,1.111,89.57
17320,1.113,89.57
17340,1.111,89.58
17320,1.111,89.56
17330,1.11,89.59
17350,1.11,89.58
17330,1.11,89.56
17330,1.11,89.56
17340,1.11,89.57
17360,1.111,89.6
17310,1.109,89.6
17300,1.109,89.59
17320,1.111,89.59
17340,1.11,89.59
17330,1.111,89.57
17310,1.11,89.59
17310,1.111,89.56
17320,1.11,89.57
17340,1.111,89.59
17340,1.108,89.61
17330,1.111,89.57
17340,1.109,89.59
17320,1.11,89.58
17320,1.11,89.55
17330,1.109,89.57
17340,1.108,89.6
17310,1.112,89.56
17340,1.11,89.59
17320,1.111,89.57
17310,1.11,89.59
17330,1.111,89.58
17360,1.11,89.61
17350,1.11,89.59
17340,1.109,89.59
17330,1.111,89.58
17320,1.11,89.56
17340,1.108,89.6
17310,1.11,89.57
17320,1.11,89.59
17330,1.111,89.57
17330,1.11,89.56
17320,1.111,89.57
17320,1.111,89.57
17300,1.111,89.55
17310,1.11,89.57
17300,1.11,89.56
17300,1.111,89.56
17320,1.111,89.57
17300,1.111,89.57
17310,1.109,89.6
17350,1.109,89.63
17320,1.109,89.54
17340,1.111,89.58
17330,1.11,89.58
17320,1.11,89.57
17320,1.11,89.58
17320,1.111,89.57
17320,1.111,89.56
17300,1.11,89.58
17330,1.109,89.6
17300,1.111,89.56
17320,1.111,89.58
17330,1.11,89.58
17340,1.109,89.61
17330,1.11,89.59
17330,1.111,89.58
17320,1.11,89.56
17340,1.11,89.56
17350,1.111,89.57
17330,1.11,89.58
17320,1.111,89.58
17310,1.11,89.55
17330,1.109,89.57
17320,1.109,89.57
17330,1.112,89.57
17320,1.111,89.61
17320,1.109,89.61
17320,1.11,89.58
17330,1.111,89.57
17320,1.112,89.56
17330,1.11,89.59
17290,1.112,89.56
17330,1.109,89.6
17320,1.111,89.58
17300,1.111,89.56
17330,1.11,89.59
17350,1.11,89.57
17340,1.11,89.6
17310,1.11,89.58
17290,1.11,89.59
17340,1.11,89.59
17320,1.11,89.58
17360,1.111,89.59
17310,1.111,89.54
17310,1.11,89.56
17340,1.11,89.59
17320,1.11,89.57
17320,1.111,89.55
17340,1.11,89.6
17340,1.11,89.56
17330,1.11,89.6
17320,1.11,89.58
17320,1.111,89.57
17340,1.109,89.59
17320,1.11,89.57
17320,1.109,89.58
17310,1.11,89.58
17320,1.11,89.58
17360,1.109,89.6
17350,1.109,89.6
17330,1.109,89.58
17340,1.11,89.59
17340,1.11,89.58
17340,1.112,89.57
17340,1.11,89.56
17350,1.111,89.6
17320,1.111,89.58
17320,1.11,89.58
17310,1.111,89.56
17350,1.11,89.6
17340,1.111,89.59
17330,1.11,89.61
17330,1.111,89.55
17330,1.111,89.56
17320,1.111,89.56
17330,1.11,89.58
17320,1.112,89.56
17330,1.111,89.58
17330,1.11,89.58
17330,1.111,89.59
17330,1.111,89.58
17340,1.11,89.59
17360,1.109,89.62
17310,1.112,89.56
17330,1.111,89.58
17330,1.11,89.58
17360,1.109,89.6
17330,1.111,89.56
17320,1.11,89.57
17350,1.11,89.59
17360,1.11,89.6
17360,1.111,89.59
17330,1.111,89.59
17350,1.11,89.59
17330,1.11,89.58
17330,1.111,89.57
17320,1.111,89.59
17320,1.111,89.58
17300,1.111,89.57
17330,1.111,89.58
17320,1.111,89.56
17340,1.111,89.58
17320,1.109,89.58
17320,1.11,89.57
17320,1.11,89.57
17330,1.11,89.58
17340,1.112,89.56
17320,1.11,89.58
17320,1.108,89.58
17300,1.11,89.59
17320,1.108,89.62
17320,1.11,89.59
17300,1.111,89.58
17320,1.109,89.58
17310,1.11,89.58
17360,1.109,89.61
17340,1.112,89.58
17300,1.111,89.58
17290,1.111,89.55
17350,1.108,89.57
17370,1.111,89.6
17340,1.112,89.57
17320,1.11,89.55
17310,1.109,89.59
17350,1.11,89.58
17320,1.11,89.59
17310,1.11,89.58
17350,1.11,89.58
17360,1.108,89.61
17330,1.11,89.57
17330,1.11,89.57
17330,1.112,89.56
17350,1.11,89.59
17340,1.111,89.58
17350,1.11,89.62
17330,1.111,89.59
17310,1.11,89.6
17320,1.109,89.59
17300,1.11,89.55
17330,1.11,89.58
17330,1.109,89.58
17310,1.111,89.58
17330,1.11,89.57
17310,1.112,89.55
17300,1.111,89.56
17320,1.11,89.59
17350,1.11,89.57
17340,1.111,89.59
17330,1.11,89.59
17320,1.11,89.59
17310,1.11,89.59
17320,1.111,89.59
17320,1.111,89.55
17300,1.11,89.55
17320,1.112,89.57
17350,1.111,89.6
17320,1.112,89.56
17350,1.111,89.6
17330,1.111,89.55
17320,1.111,89.57
17310,1.113,89.55
17320,1.112,89.54
17330,1.111,89.58
17340,1.111,89.58
17330,1.11,89.57
17340,1.11,89.58
17350,1.11,89.59
17350,1.11,89.58
17350,1.11,89.59
17330,1.11,89.59
17330,1.112,89.56
17340,1.109,89.57
17330,1.11,89.58
17320,1.112,89.57
17300,1.11,89.56
17330,1.112,89.57
17350,1.111,89.6
17330,1.11,89.56
17320,1.111,89.57
17330,1.111,89.55
17340,1.109,89.61
17330,1.11,89.58
17330,1.11,89.57
17320,1.111,89.56
17330,1.11,89.57
17330,1.111,89.56
17350,1.11,89.57
17350,1.111,89.56
17360,1.111,89.57
17350,1.11,89.58
17320,1.111,89.55
17360,1.111,89.59
17350,1.111,89.59
17360,1.109,89.63
17340,1.112,89.56
17340,1.111,89.59
17360,1.11,89.59
17340,1.111,89.56
17330,1.112,89.58
17350,1.111,89.58
17340,1.108,89.62
17330,1.109,89.59
17320,1.11,89.58
17340,1.111,89.58
17310,1.111,89.58
17320,1.109,89.58
17300,1.111,89.55
17310,1.111,89.58
17350,1.11,89.59
17330,1.111,89.57
17330,1.111,89.56
17340,1.108,89.59
17320,1.109,89.57
17330,1.111,89.57
17330,1.11,89.59
17320,1.11,89.58
17330,1.111,89.57
17320,1.112,89.57
17330,1.111,89.58
17310,1.111,89.58
17330,1.111,89.58
17340,1.111,89.58
17330,1.11,89.58
17320,1.11,89.58
17310,1.111,89.57
17300,1.111,89.56
17310,1.112,89.57
17320,1.11,89.58
17330,1.112,89.56
17310,1.111,89.57
17330,1.111,89.55
17330,1.112,89.57
17310,1.11,89.57
17340,1.109,89.58
17320,1.11,89.59
17350,1.108,89.61
17320,1.111,89.56
17340,1.11,89.6
17330,1.111,89.57
17350,1.111,89.57
17320,1.111,89.56
17340,1.11,89.61
17330,1.111,89.57
17320,1.111,89.56
17330,1.112,89.56
17340,1.111,89.59
17320,1.112,89.57
17290,1.112,89.54
17340,1.111,89.56
17300,1.112,89.54
17300,1.111,89.54
17310,1.111,89.57
17330,1.111,89.58
17340,1.109,89.58
17320,1.11,89.58
17320,1.11,89.57
17330,1.11,89.57
17320,1.111,89.59
17320,1.109,89.58
17320,1.11,89.59
17350,1.11,89.6
17350,1.11,89.59
17370,1.11,89.58
17340,1.109,89.57
17340,1.111,89.57
17280,1.111,89.56
17320,1.11,89.57
17330,1.11,89.58
17310,1.112,89.56
17320,1.111,89.59
17330,1.11,89.58
17330,1.109,89.58
17330,1.109,89.57
17300,1.109,89.58
17310,1.11,89.57
17290,1.111,89.56
17330,1.11,89.61
17330,1.11,89.57
17340,1.111,89.56
17320,1.112,89.54
17310,1.11,89.56
17330,1.11,89.58
17340,1.11,89.59
17340,1.111,89.57
17320,1.111,89.56
17350,1.11,89.59
17340,1.11,89.57
17330,1.11,89.55
17340,1.11,89.57
17330,1.112,89.54
17330,1.111,89.56
17300,1.112,89.56
17300,1.111,89.56
17320,1.111,89.58
17310,1.111,89.56
17330,1.11,89.59
17340,1.109,89.6
17320,1.11,89.6
17320,1.11,89.59
17320,1.109,89.59
17340,1.11,89.58
17300,1.11,89.58
17310,1.111,89.57
17320,1.112,89.58
17310,1.11,89.61
17330,1.111,89.59
17320,1.111,89.56
17340,1.109,89.58
17320,1.11,89.59
17340,1.111,89.58
17330,1.111,89.57
17330,1.112,89.56
17350,1.111,89.58
17320,1.111,89.57
17300,1.11,89.56
17310,1.111,89.55
17340,1.11,89.59
17320,1.109,89.58
17320,1.11,89.59
17340,1.11,89.58
17320,1.111,89.58
17340,1.112,89.56
17360,1.11,89.59
17350,1.111,89.58
17330,1.11,89.59
17310,1.109,89.59
17350,1.111,89.6
17330,1.111,89.59
17330,1.11,89.57
17340,1.111,89.59
17340,1.11,89.57
17330,1.111,89.58
17310,1.111,89.57
17320,1.111,89.56
17320,1.112,89.57
17310,1.111,89.58
17330,1.11,89.59
17330,1.109,89.61
17350,1.11,89.62
17330,1.11,89.61
17310,1.111,89.56
